,DATETIME,AC_REG,FLIGHT_NO,AIR_GROUND,AIRSPEED_CMP,ALTITUDE,FLAPEXT_1,FLAPEXT_2,FLAPEXT_3,FLAPEXT_4,FLAPHANDLPOS,FLAPTRANS_1,FLAPTRANS_2,FLAPTRANS_3,FLAPTRANS_4,TE_FLAPPSE_L,TE_FLAPPSE_L_SYNCRHO,TE_FLAPPSE_R,TE_FLAPPSE_R_SYNCHRO,TE_FLAPSKW_1,TE_FLAPSKW_2,TE_FLAPSKW_3,TE_FLAPSKW_4,TE_FLAPSKW_5,TE_FLAPSKW_6,TE_FLAPSKW_7,TE_FLAPSKW_8,TE_FLPSK1TO8,TE_FLPSK2TO7,TE_FLPSK3TO6,TE_FLPSK4TO5,FLAPTRANS_ALL,FLAPTRANS_IND,FLAPTRANS_DISC
41,2020-09-23 03:22:53,PK-GFD,GIA448,ground,45.0,89,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.7,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
42,2020-09-23 03:22:54,PK-GFD,GIA448,ground,45.0,89,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.7,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
43,2020-09-23 03:22:55,PK-GFD,GIA448,ground,45.0,89,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.7,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
44,2020-09-23 03:22:56,PK-GFD,GIA448,ground,45.0,89,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.7,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
45,2020-09-23 03:22:57,PK-GFD,GIA448,ground,45.0,89,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.7,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
46,2020-09-23 03:22:58,PK-GFD,GIA448,ground,45.0,90,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.7,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
47,2020-09-23 03:22:59,PK-GFD,GIA448,ground,45.0,90,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.7,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
48,2020-09-23 03:23:00,PK-GFD,GIA448,ground,45.0,90,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.7,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
49,2020-09-23 03:23:01,PK-GFD,GIA448,ground,45.0,89,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.7,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
50,2020-09-23 03:23:02,PK-GFD,GIA448,ground,45.0,90,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.7,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
